set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
29,25,3,dynamic,makespan,344.0000000000,322.0000000000,6.395349,9.819,344,322,944.9900000000,1075.7700000000,216.1000000000,202.6000000000,3.5400000000,3.5000000000
30,50,3,dynamic,makespan,560.0000000000,536.0000000000,4.285714,25.299,560,536,1342.2000000000,1755.6900000000,363.2500000000,378.3800000000,4.4000000000,7.1700000000
31,50,3,dynamic,makespan,577.0000000000,578.0000000000,-0.173310,17.564,577,578,1644.7800000000,1777.6100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,dynamic,makespan,528.0000000000,492.0000000000,6.818182,23.211,528,492,1493.1900000000,1636.6600000000,117.0600000000,112.1000000000,1.3600000000,2.9600000000
33,50,3,dynamic,makespan,479.0000000000,468.0000000000,2.296451,16.047,479,468,1151.8900000000,1251.9300000000,458.2000000000,452.4800000000,9.2000000000,9.5000000000
34,50,3,dynamic,makespan,547.0000000000,544.0000000000,0.548446,20.151,547,544,1711.3500000000,1594.3900000000,81.9000000000,5.6000000000,0.4200000000,0.1400000000
35,100,3,dynamic,makespan,1142.0000000000,1142.0000000000,0.000000,90.722,1142,1142,4942.3500000000,4342.9400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
36,100,3,dynamic,makespan,1081.0000000000,1046.0000000000,3.237743,76.106,1081,1046,4294.1200000000,4020.6200000000,545.3600000000,94.1600000000,4.0200000000,1.1300000000
37,100,3,dynamic,makespan,1037.0000000000,1048.0000000000,-1.060752,87.011,1037,1048,4502.3600000000,5467.2200000000,803.7800000000,1442.2600000000,7.2300000000,11.9100000000
38,100,3,dynamic,makespan,1053.0000000000,1029.0000000000,2.279202,48.088,1053,1029,3243.2500000000,3348.2300000000,1131.1200000000,1104.0500000000,16.6500000000,17.3900000000
39,100,3,dynamic,makespan,1131.0000000000,1109.0000000000,1.945181,89.636,1131,1109,3877.4100000000,5249.7200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,dynamic,makespan,97.0000000000,109.0000000000,-12.371134,3.604,97,109,218.3100000000,277.8800000000,0.6500000000,34.7700000000,0.6500000000,1.3900000000
41,12,6,dynamic,makespan,108.0000000000,108.0000000000,0.000000,3.279,108,108,138.0800000000,138.0800000000,32.4700000000,32.4700000000,1.4500000000,1.4500000000
42,12,6,dynamic,makespan,132.0000000000,132.0000000000,0.000000,3.105,132,132,276.0900000000,276.0900000000,199.7800000000,199.7800000000,5.3900000000,5.3900000000
43,12,6,dynamic,makespan,142.0000000000,142.0000000000,0.000000,3.204,142,142,307.3800000000,307.3800000000,141.6900000000,141.6900000000,4.3400000000,4.3400000000
44,12,6,dynamic,makespan,156.0000000000,156.0000000000,0.000000,3.540,156,156,298.0500000000,298.0500000000,214.3800000000,214.3800000000,6.6900000000,6.6900000000
45,25,6,dynamic,makespan,201.0000000000,201.0000000000,0.000000,12.348,201,201,508.2200000000,509.1200000000,11.7600000000,11.7600000000,0.9800000000,0.9800000000
46,25,6,dynamic,makespan,194.0000000000,166.0000000000,14.432990,9.540,194,166,524.3000000000,465.3600000000,69.1900000000,14.1400000000,2.6800000000,1.5600000000
47,25,6,dynamic,makespan,182.0000000000,129.0000000000,29.120879,8.759,182,129,447.1000000000,388.8400000000,234.3800000000,149.3300000000,6.5900000000,6.8300000000
48,25,6,dynamic,makespan,208.0000000000,208.0000000000,0.000000,7.381,208,208,428.1300000000,428.1300000000,208.7400000000,208.7400000000,5.4400000000,5.4400000000
49,25,6,dynamic,makespan,141.0000000000,141.0000000000,0.000000,5.732,141,141,419.1500000000,419.1500000000,16.3200000000,16.3200000000,0.9600000000,0.9600000000
50,50,6,dynamic,makespan,284.0000000000,272.0000000000,4.225352,20.740,284,272,898.9600000000,940.2700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,dynamic,makespan,272.0000000000,255.0000000000,6.250000,31.995,272,255,941.4700000000,893.6100000000,12.6900000000,2.8800000000,1.4700000000,0.3800000000
52,50,6,dynamic,makespan,284.0000000000,306.0000000000,-7.746479,21.641,284,306,1056.8000000000,994.4700000000,373.8800000000,354.4700000000,9.0900000000,8.4600000000
53,50,6,dynamic,makespan,315.0000000000,302.0000000000,4.126984,33.440,315,302,945.6800000000,989.4400000000,145.6400000000,195.9100000000,4.5900000000,4.3400000000
54,50,6,dynamic,makespan,240.0000000000,266.0000000000,-10.833333,20.275,240,266,1062.0800000000,892.2700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,dynamic,makespan,501.0000000000,491.0000000000,1.996008,51.993,501,491,2231.3000000000,1928.4400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
56,100,6,dynamic,makespan,466.0000000000,455.0000000000,2.360515,59.658,466,455,1753.9300000000,1726.2900000000,212.1800000000,193.1100000000,8.0700000000,7.2000000000
57,100,6,dynamic,makespan,502.0000000000,500.0000000000,0.398406,64.835,502,500,1854.8500000000,1933.7900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,dynamic,makespan,481.0000000000,427.0000000000,11.226611,87.831,481,427,1739.5200000000,1880.6600000000,563.2900000000,565.5900000000,17.2400000000,16.2800000000
59,100,6,dynamic,makespan,497.0000000000,500.0000000000,-0.603622,61.120,497,500,2020.8100000000,2003.4400000000,671.9700000000,658.1200000000,16.2300000000,17.2200000000
60,12,6,dynamic,makespan,112.0000000000,112.0000000000,0.000000,4.577,112,112,243.7700000000,243.7700000000,10.4300000000,10.4300000000,1.4400000000,1.4400000000
61,12,6,dynamic,makespan,137.0000000000,137.0000000000,0.000000,4.474,137,137,342.3400000000,342.3400000000,139.0500000000,139.0500000000,3.1200000000,3.1200000000
62,12,6,dynamic,makespan,79.0000000000,79.0000000000,0.000000,4.497,79,79,187.9700000000,187.9700000000,115.3300000000,115.3300000000,5.8600000000,5.8600000000
63,12,6,dynamic,makespan,108.0000000000,108.0000000000,0.000000,4.342,108,108,212.9300000000,212.9300000000,47.5100000000,47.5100000000,1.7100000000,1.7100000000
64,12,6,dynamic,makespan,103.0000000000,103.0000000000,0.000000,4.284,103,103,156.6900000000,156.6900000000,109.4900000000,109.4900000000,3.8300000000,3.8300000000
65,25,6,dynamic,makespan,219.0000000000,205.0000000000,6.392694,5.985,219,205,484.9800000000,449.9900000000,102.8400000000,91.9000000000,2.5800000000,4.0400000000
66,25,6,dynamic,makespan,183.0000000000,176.0000000000,3.825137,10.361,183,176,501.5800000000,504.7500000000,239.3700000000,241.9500000000,8.1400000000,8.6700000000
67,25,6,dynamic,makespan,138.0000000000,138.0000000000,0.000000,8.102,138,138,386.2700000000,386.2700000000,43.5100000000,43.5100000000,4.0700000000,4.0700000000
68,25,6,dynamic,makespan,189.0000000000,176.0000000000,6.878307,13.545,189,176,615.3100000000,599.3600000000,39.8000000000,39.8000000000,1.7800000000,1.7800000000
69,25,6,dynamic,makespan,165.0000000000,148.0000000000,10.303030,11.430,165,148,503.6500000000,498.1800000000,88.2400000000,60.7400000000,2.6500000000,2.9100000000
70,50,6,dynamic,makespan,252.0000000000,262.0000000000,-3.968254,13.683,252,262,537.6800000000,533.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,dynamic,makespan,322.0000000000,287.0000000000,10.869565,20.063,322,287,1057.1800000000,1090.2100000000,0.0000000000,0.3400000000,0.0000000000,0.3400000000
72,50,6,dynamic,makespan,246.0000000000,273.0000000000,-10.975610,28.866,246,273,839.5700000000,974.0600000000,0.0000000000,14.6100000000,0.0000000000,1.7700000000
73,50,6,dynamic,makespan,257.0000000000,273.0000000000,-6.225681,15.865,257,273,797.0900000000,830.4700000000,154.3400000000,162.7100000000,4.6800000000,4.2800000000
74,50,6,dynamic,makespan,307.0000000000,323.0000000000,-5.211726,23.130,307,323,1082.5000000000,1091.6800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,dynamic,makespan,446.0000000000,400.0000000000,10.313901,123.064,446,400,2327.4400000000,2104.6300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,dynamic,makespan,494.0000000000,508.0000000000,-2.834008,43.555,494,508,1700.5800000000,1956.9600000000,243.9000000000,337.9400000000,8.7200000000,9.2900000000
77,100,6,dynamic,makespan,464.0000000000,492.0000000000,-6.034483,47.927,464,492,1783.2800000000,1884.7300000000,189.6800000000,119.1400000000,8.7200000000,8.4800000000
78,100,6,dynamic,makespan,514.0000000000,465.0000000000,9.533074,47.067,514,465,1780.6600000000,1847.2600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,dynamic,makespan,537.0000000000,484.0000000000,9.869646,76.509,537,484,2153.1300000000,2295.4400000000,927.9700000000,980.1300000000,20.2100000000,20.4800000000
80,25,10,dynamic,makespan,99.0000000000,99.0000000000,0.000000,8.342,99,99,119.8100000000,119.8100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,dynamic,makespan,141.0000000000,141.0000000000,0.000000,9.626,141,141,147.4800000000,147.4800000000,7.0300000000,7.0300000000,0.1900000000,0.1900000000
82,25,10,dynamic,makespan,85.0000000000,84.0000000000,1.176471,58.305,85,84,150.6700000000,164.5800000000,49.8800000000,63.7900000000,6.0600000000,6.0600000000
83,25,10,dynamic,makespan,97.0000000000,97.0000000000,0.000000,10.798,97,97,229.6400000000,229.6400000000,0.5400000000,0.5400000000,0.5400000000,0.5400000000
84,25,10,dynamic,makespan,122.0000000000,122.0000000000,0.000000,44.378,122,122,290.9900000000,290.9900000000,133.0900000000,133.0900000000,4.5800000000,4.5800000000
85,25,10,dynamic,makespan,138.0000000000,138.0000000000,0.000000,14.414,138,138,333.3500000000,333.3500000000,37.2000000000,37.2000000000,1.2000000000,1.2000000000
86,25,10,dynamic,makespan,171.0000000000,171.0000000000,0.000000,13.944,171,171,425.7800000000,425.7800000000,108.8600000000,108.8600000000,2.0200000000,2.0200000000
87,25,10,dynamic,makespan,130.0000000000,130.0000000000,0.000000,21.934,130,130,447.5700000000,447.5700000000,250.0900000000,250.0900000000,9.1500000000,9.1500000000
88,25,10,dynamic,makespan,122.0000000000,101.0000000000,17.213115,99.582,122,101,274.1400000000,143.3500000000,29.6500000000,3.1000000000,2.3800000000,0.6200000000
89,25,10,dynamic,makespan,91.0000000000,91.0000000000,0.000000,469.245,91,91,135.3200000000,135.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,dynamic,makespan,212.0000000000,212.0000000000,0.000000,447.313,212,212,736.2800000000,736.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,dynamic,makespan,208.0000000000,208.0000000000,0.000000,498.105,208,208,757.2500000000,757.2500000000,303.0400000000,303.0400000000,12.0000000000,12.0000000000
92,50,10,dynamic,makespan,175.0000000000,187.0000000000,-6.857143,213.012,175,187,727.4800000000,795.5500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,dynamic,makespan,189.0000000000,179.0000000000,5.291005,52.934,189,179,730.9200000000,724.0700000000,145.5800000000,179.7000000000,6.7900000000,7.2400000000
94,50,10,dynamic,makespan,208.0000000000,150.0000000000,27.884615,29.812,208,150,499.3000000000,434.7600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,dynamic,makespan,348.0000000000,361.0000000000,-3.735632,89.415,348,361,1587.2400000000,1494.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,dynamic,makespan,347.0000000000,347.0000000000,0.000000,66.152,347,347,1518.8400000000,1518.8400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,dynamic,makespan,321.0000000000,298.0000000000,7.165109,51.896,321,298,1225.6100000000,1225.4400000000,1.6500000000,1.6500000000,0.5500000000,0.5500000000
98,100,10,dynamic,makespan,332.0000000000,332.0000000000,0.000000,45.360,332,332,1367.9800000000,1367.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,dynamic,makespan,309.0000000000,331.0000000000,-7.119741,119.238,309,331,1579.2800000000,1546.6900000000,236.7800000000,237.9700000000,10.9800000000,10.9800000000
100,25,10,dynamic,makespan,122.0000000000,122.0000000000,0.000000,10.506,122,122,374.6200000000,374.6200000000,234.7300000000,234.7300000000,9.0500000000,9.0500000000
101,25,10,dynamic,makespan,124.0000000000,124.0000000000,0.000000,11.034,124,124,221.9800000000,221.9800000000,61.1900000000,61.1900000000,2.0000000000,2.0000000000
102,25,10,dynamic,makespan,131.0000000000,131.0000000000,0.000000,10.022,131,131,331.3300000000,331.3300000000,77.7100000000,77.7100000000,4.8800000000,4.8800000000
103,25,10,dynamic,makespan,116.0000000000,116.0000000000,0.000000,9.221,116,116,296.0600000000,296.0600000000,42.9000000000,42.9000000000,2.0600000000,2.0600000000
104,25,10,dynamic,makespan,68.0000000000,68.0000000000,0.000000,9.583,68,68,116.9000000000,116.9000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,dynamic,makespan,97.0000000000,97.0000000000,0.000000,12.085,97,97,256.6800000000,256.6800000000,2.8000000000,2.8000000000,0.7000000000,0.7000000000
106,25,10,dynamic,makespan,85.0000000000,83.0000000000,2.352941,10.494,85,83,157.2300000000,184.6200000000,5.1800000000,7.4000000000,0.3700000000,0.3700000000
107,25,10,dynamic,makespan,162.0000000000,162.0000000000,0.000000,9.943,162,162,270.5400000000,270.5400000000,28.6900000000,28.6900000000,1.3100000000,1.3100000000
108,25,10,dynamic,makespan,95.0000000000,95.0000000000,0.000000,10.168,95,95,215.2800000000,215.2800000000,99.2400000000,99.2400000000,5.4900000000,5.4900000000
109,25,10,dynamic,makespan,75.0000000000,75.0000000000,0.000000,9.866,75,75,117.1000000000,117.1000000000,5.7800000000,5.7800000000,1.9100000000,1.9100000000
110,50,10,dynamic,makespan,200.0000000000,172.0000000000,14.000000,36.300,200,172,730.8300000000,726.6800000000,60.0600000000,42.9800000000,2.2400000000,3.2400000000
111,50,10,dynamic,makespan,201.0000000000,180.0000000000,10.447761,17.227,201,180,618.6100000000,644.6400000000,2.8500000000,7.6000000000,0.1900000000,0.9500000000
112,50,10,dynamic,makespan,187.0000000000,187.0000000000,0.000000,28.519,187,187,941.3100000000,941.3100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,dynamic,makespan,189.0000000000,189.0000000000,0.000000,24.243,189,189,527.2100000000,527.2100000000,1.3000000000,1.3000000000,0.2600000000,0.2600000000
114,50,10,dynamic,makespan,181.0000000000,177.0000000000,2.209945,30.590,181,177,529.8500000000,552.7600000000,0.9200000000,0.9900000000,0.4600000000,0.4700000000
115,100,10,dynamic,makespan,318.0000000000,335.0000000000,-5.345912,62.304,318,335,1488.4800000000,1582.3100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,dynamic,makespan,326.0000000000,334.0000000000,-2.453988,68.179,326,334,1571.9300000000,1614.0000000000,0.8400000000,0.6300000000,0.2800000000,0.6300000000
117,100,10,dynamic,makespan,310.0000000000,299.0000000000,3.548387,89.476,310,299,1657.8900000000,1698.4200000000,215.7100000000,163.5200000000,8.0100000000,10.1300000000
118,100,10,dynamic,makespan,358.0000000000,371.0000000000,-3.631285,96.340,358,371,1905.5400000000,2013.7600000000,36.0600000000,47.4800000000,1.1300000000,1.7900000000
119,100,10,dynamic,makespan,338.0000000000,318.0000000000,5.917160,50.005,338,318,1403.8500000000,1170.3700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
