set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
82,25,10,static,weighted_tardy_jobs,6.8100000000,6.0600000000,11.013216,94,124,151.0800000000,221.1300000000,50.2900000000,120.3400000000,6.8100000000,6.0600000000
83,25,10,static,weighted_tardy_jobs,0.5400000000,0.0000000000,100.000000,102,84,188.0700000000,271.6000000000,3.2400000000,0.0000000000,0.5400000000,0.0000000000
84,25,10,static,weighted_tardy_jobs,3.6100000000,3.6100000000,0.000000,104,104,176.9700000000,176.9700000000,71.9400000000,71.9400000000,3.6100000000,3.6100000000
85,25,10,static,weighted_tardy_jobs,0.6000000000,0.6000000000,0.000000,96,96,146.4000000000,146.4000000000,3.6000000000,3.6000000000,0.6000000000,0.6000000000
86,25,10,static,weighted_tardy_jobs,1.5000000000,0.0000000000,100.000000,99,101,226.8500000000,225.3700000000,12.9800000000,0.0000000000,1.5000000000,0.0000000000
87,25,10,static,weighted_tardy_jobs,1.6800000000,1.6800000000,0.000000,100,100,176.1800000000,176.1800000000,40.6300000000,40.6300000000,1.6800000000,1.6800000000
88,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,71,71,114.4100000000,114.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,91,91,116.0800000000,116.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,153,153,323.6500000000,323.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,static,weighted_tardy_jobs,5.9400000000,5.9400000000,0.000000,153,153,358.3700000000,358.3700000000,44.7300000000,44.7300000000,5.9400000000,5.9400000000
92,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,146,146,318.1300000000,318.1300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,static,weighted_tardy_jobs,3.7000000000,3.2800000000,11.351351,139,151,338.8600000000,433.2900000000,61.8200000000,93.8900000000,3.7000000000,3.2800000000
94,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,137,137,247.1400000000,247.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,266,266,595.4000000000,595.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,272,272,519.0700000000,519.0700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,static,weighted_tardy_jobs,0.5500000000,0.5500000000,0.000000,296,296,593.2700000000,593.2700000000,23.6500000000,23.6500000000,0.5500000000,0.5500000000
98,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,279,279,635.4800000000,635.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,static,weighted_tardy_jobs,7.6000000000,7.6000000000,0.000000,277,277,734.1000000000,734.1000000000,66.6100000000,66.6100000000,7.6000000000,7.6000000000
100,25,10,static,weighted_tardy_jobs,6.8400000000,6.6500000000,2.777778,87,106,218.5800000000,284.7300000000,95.0200000000,161.9300000000,6.8400000000,6.6500000000
101,25,10,static,weighted_tardy_jobs,0.4900000000,0.4900000000,0.000000,95,95,123.5300000000,123.5300000000,7.4200000000,7.4200000000,0.4900000000,0.4900000000
102,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,72,72,106.5000000000,106.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
