set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
62,12,6,static,weighted_tardiness,97.9300000000,76.2900000000,22.097417,9.982,105,75,152.7000000000,136.3400000000,97.9300000000,76.2900000000,4.7600000000,5.2000000000
63,12,6,static,weighted_tardiness,18.8800000000,8.8500000000,53.125000,9.874,107,90,116.4700000000,111.9000000000,18.8800000000,8.8500000000,0.5900000000,0.5900000000
64,12,6,static,weighted_tardiness,72.3300000000,64.1300000000,11.336928,10.434,73,66,119.5300000000,117.2700000000,72.3300000000,64.1300000000,3.8300000000,4.0100000000
65,25,6,static,weighted_tardiness,5.4300000000,0.6000000000,88.950276,25.623,160,137,252.6800000000,286.3800000000,5.4300000000,0.6000000000,1.4100000000,0.3000000000
66,25,6,static,weighted_tardiness,175.1100000000,131.7900000000,24.738736,25.650,165,216,375.2600000000,345.3500000000,175.1100000000,131.7900000000,6.2000000000,6.7200000000
67,25,6,static,weighted_tardiness,14.5900000000,2.7800000000,80.945853,25.854,117,117,217.7200000000,220.9100000000,14.5900000000,2.7800000000,1.1200000000,0.4800000000
68,25,6,static,weighted_tardiness,101.2000000000,8.1700000000,91.926877,25.705,182,230,414.2700000000,715.7700000000,101.2000000000,8.1700000000,0.9200000000,1.4500000000
69,25,6,static,weighted_tardiness,120.2200000000,38.2700000000,68.166694,25.740,156,224,306.5100000000,457.7900000000,120.2200000000,38.2700000000,2.3800000000,2.3700000000
70,50,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,82.714,229,229,419.4200000000,419.4200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,83.922,264,264,695.2000000000,695.2000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,static,weighted_tardiness,0.8700000000,0.0000000000,100.000000,159.424,251,251,657.8100000000,705.1200000000,0.8700000000,0.0000000000,0.8700000000,0.0000000000
73,50,6,static,weighted_tardiness,67.0100000000,58.0700000000,13.341292,383.105,237,240,531.2000000000,568.1100000000,67.0100000000,58.0700000000,2.5200000000,2.5500000000
74,50,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,88.778,252,252,359.5400000000,359.5400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,336.014,422,422,1215.0000000000,1215.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,static,weighted_tardiness,90.7500000000,73.1000000000,19.449036,320.162,478,478,1006.2500000000,1308.3100000000,90.7500000000,73.1000000000,7.1700000000,6.6100000000
77,100,6,static,weighted_tardiness,334.6200000000,264.3400000000,21.002929,302.848,482,529,1401.1300000000,1478.8100000000,334.6200000000,264.3400000000,5.2300000000,4.4700000000
78,100,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,303.439,441,441,1278.5700000000,1278.5700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,static,weighted_tardiness,625.2200000000,502.7600000000,19.586705,308.081,498,574,1520.0500000000,1777.9100000000,625.2200000000,502.7600000000,18.8700000000,18.8700000000
80,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,42.137,96,96,107.9400000000,107.9400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
