set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
11,50,3,static,weighted_flow,1375.1100000000,1344.3900000000,2.234003,601,602,1375.1100000000,1344.3900000000,17.7500000000,17.7500000000,0.2500000000,0.2500000000
12,50,3,static,weighted_flow,1276.6200000000,1224.6000000000,4.074823,555,556,1276.6200000000,1224.6000000000,60.2800000000,77.4400000000,0.4400000000,0.4400000000
13,50,3,static,weighted_flow,1328.1100000000,1302.1200000000,1.956916,597,560,1328.1100000000,1302.1200000000,338.6200000000,316.3700000000,3.3500000000,3.3500000000
14,50,3,static,weighted_flow,2649.6900000000,2596.3900000000,2.011556,666,666,2649.6900000000,2596.3900000000,437.5500000000,440.1700000000,2.1000000000,2.1000000000
15,100,3,static,weighted_flow,4430.9100000000,4356.3300000000,1.683176,1268,1290,4430.9100000000,4356.3300000000,17.1700000000,17.1700000000,0.1700000000,0.1700000000
16,100,3,static,weighted_flow,4560.3200000000,4433.9100000000,2.771955,1244,1220,4560.3200000000,4433.9100000000,1353.6500000000,1239.6100000000,17.7900000000,18.6600000000
17,100,3,static,weighted_flow,4246.2400000000,4174.9500000000,1.678897,1148,1148,4246.2400000000,4174.9500000000,238.9300000000,234.8100000000,3.1300000000,3.1300000000
18,100,3,static,weighted_flow,6515.9800000000,6498.1800000000,0.273175,1266,1266,6515.9800000000,6498.1800000000,796.9900000000,795.3900000000,2.5400000000,2.5400000000
19,100,3,static,weighted_flow,4736.3200000000,4689.4200000000,0.990220,1079,1148,4736.3200000000,4689.4200000000,874.2000000000,837.5500000000,7.3500000000,6.9800000000
20,12,3,static,weighted_flow,265.1300000000,262.5300000000,0.980651,170,156,265.1300000000,262.5300000000,0.9000000000,9.3100000000,0.4500000000,0.4900000000
21,12,3,static,weighted_flow,283.5600000000,268.2200000000,5.409790,155,167,283.5600000000,268.2200000000,61.3400000000,60.8200000000,1.8100000000,1.0500000000
22,12,3,static,weighted_flow,231.2400000000,213.7200000000,7.576544,171,151,231.2400000000,213.7200000000,115.1100000000,78.9900000000,1.2900000000,2.0700000000
23,12,3,static,weighted_flow,166.0100000000,166.0100000000,0.000000,147,147,166.0100000000,166.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,static,weighted_flow,297.0200000000,228.9600000000,22.914282,201,166,297.0200000000,228.9600000000,56.7300000000,24.1800000000,0.9300000000,0.9300000000
25,25,3,static,weighted_flow,693.0900000000,693.0900000000,0.000000,342,342,693.0900000000,693.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,static,weighted_flow,308.5700000000,286.1200000000,7.275497,278,283,308.5700000000,286.1200000000,48.1800000000,24.4200000000,0.7000000000,0.7000000000
27,25,3,static,weighted_flow,523.8200000000,523.8200000000,0.000000,278,278,523.8200000000,523.8200000000,6.3000000000,6.3000000000,0.9000000000,0.9000000000
28,25,3,static,weighted_flow,525.6000000000,498.7200000000,5.114155,294,281,525.6000000000,498.7200000000,4.9700000000,0.0000000000,0.7100000000,0.0000000000
29,25,3,static,weighted_flow,943.2000000000,943.2000000000,0.000000,339,339,943.2000000000,943.2000000000,241.7200000000,241.7200000000,4.1100000000,4.1100000000
30,50,3,static,weighted_flow,1914.8700000000,1781.2600000000,6.977497,614,597,1914.8700000000,1781.2600000000,897.6300000000,820.9300000000,5.0800000000,4.8400000000
31,50,3,static,weighted_flow,1610.6500000000,1601.2900000000,0.581132,567,555,1610.6500000000,1601.2900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,static,weighted_flow,1517.6100000000,1496.0300000000,1.421973,537,550,1517.6100000000,1496.0300000000,181.2900000000,153.9300000000,2.0100000000,1.7500000000
33,50,3,static,weighted_flow,1090.0400000000,1036.7100000000,4.892481,572,572,1090.0400000000,1036.7100000000,594.6600000000,564.2300000000,9.2500000000,9.2500000000
34,50,3,static,weighted_flow,1617.3600000000,1605.1100000000,0.757407,616,616,1617.3600000000,1605.1100000000,187.9200000000,187.9200000000,1.1100000000,1.1100000000
35,100,3,static,weighted_flow,5925.5500000000,5881.3300000000,0.746260,1232,1232,5925.5500000000,5881.3300000000,157.2200000000,157.2200000000,2.2300000000,2.2300000000
36,100,3,static,weighted_flow,3549.7200000000,3487.0800000000,1.764646,1114,1117,3549.7200000000,3487.0800000000,608.8500000000,543.5800000000,3.5900000000,4.1900000000
37,100,3,static,weighted_flow,5307.1200000000,5198.7600000000,2.041785,1133,1167,5307.1200000000,5198.7600000000,2081.1600000000,1995.9800000000,8.3400000000,8.3400000000
38,100,3,static,weighted_flow,4124.9700000000,3988.5200000000,3.307903,1174,1242,4124.9700000000,3988.5200000000,1598.0800000000,1567.3300000000,17.0600000000,17.4700000000
39,100,3,static,weighted_flow,4501.5600000000,4384.3700000000,2.603320,1216,1216,4501.5600000000,4384.3700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,static,weighted_flow,182.7200000000,175.1100000000,4.164842,86,86,182.7200000000,175.1100000000,5.2100000000,2.6000000000,1.5200000000,0.6500000000
41,12,6,static,weighted_flow,96.8100000000,96.8100000000,0.000000,94,94,96.8100000000,96.8100000000,5.4000000000,5.4000000000,0.4500000000,0.4500000000
42,12,6,static,weighted_flow,173.0200000000,144.0400000000,16.749509,98,94,173.0200000000,144.0400000000,105.2800000000,76.5800000000,3.6200000000,2.9900000000
43,12,6,static,weighted_flow,162.2200000000,157.3400000000,3.008260,86,84,162.2200000000,157.3400000000,71.8000000000,65.4000000000,2.5800000000,2.5800000000
44,12,6,static,weighted_flow,166.1800000000,160.6900000000,3.303647,116,98,166.1800000000,160.6900000000,104.6900000000,99.2000000000,4.3700000000,4.3700000000
45,25,6,static,weighted_flow,182.4600000000,174.3400000000,4.450290,120,158,182.4600000000,174.3400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46,25,6,static,weighted_flow,272.5300000000,264.6600000000,2.887755,160,160,272.5300000000,264.6600000000,17.0000000000,17.0000000000,0.1700000000,0.1700000000
47,25,6,static,weighted_flow,234.4900000000,231.3500000000,1.339076,128,128,234.4900000000,231.3500000000,76.0700000000,77.1000000000,6.1100000000,6.1100000000
48,25,6,static,weighted_flow,268.6000000000,249.1400000000,7.244974,138,138,268.6000000000,249.1400000000,142.9700000000,116.7100000000,4.6000000000,4.6000000000
49,25,6,static,weighted_flow,161.0500000000,153.5200000000,4.675567,105,105,161.0500000000,153.5200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50,50,6,static,weighted_flow,524.0800000000,502.8500000000,4.050908,256,255,524.0800000000,502.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,static,weighted_flow,485.7200000000,449.5200000000,7.452853,222,226,485.7200000000,449.5200000000,13.5000000000,13.5000000000,0.7500000000,0.7500000000
