set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
90,50,10,dynamic,weighted_flow,736.2800000000,736.2800000000,0.000000,13.043,212,212,736.2800000000,736.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,dynamic,weighted_flow,757.2500000000,757.2500000000,0.000000,18.421,208,208,757.2500000000,757.2500000000,303.0400000000,303.0400000000,12.0000000000,12.0000000000
92,50,10,dynamic,weighted_flow,727.4800000000,760.1000000000,-4.483972,23.883,175,179,727.4800000000,760.1000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,dynamic,weighted_flow,730.9200000000,704.6200000000,3.598205,31.810,189,212,730.9200000000,704.6200000000,145.5800000000,146.4800000000,6.7900000000,6.9900000000
94,50,10,dynamic,weighted_flow,499.3000000000,432.5200000000,13.374725,20.201,208,193,499.3000000000,432.5200000000,0.0000000000,0.8400000000,0.0000000000,0.1400000000
95,100,10,dynamic,weighted_flow,1587.2400000000,1562.1100000000,1.583251,65.091,348,344,1587.2400000000,1562.1100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,dynamic,weighted_flow,1518.8400000000,1458.3300000000,3.983961,63.089,347,324,1518.8400000000,1458.3300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,dynamic,weighted_flow,1225.6100000000,1223.7300000000,0.153393,53.228,321,335,1225.6100000000,1223.7300000000,1.6500000000,7.6200000000,0.5500000000,1.3500000000
98,100,10,dynamic,weighted_flow,1367.9800000000,1387.2400000000,-1.407915,53.186,332,301,1367.9800000000,1387.2400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,dynamic,weighted_flow,1579.2800000000,1662.5000000000,-5.269490,102.733,309,308,1579.2800000000,1662.5000000000,236.7800000000,252.1100000000,10.9800000000,10.5700000000
100,25,10,dynamic,weighted_flow,374.6200000000,374.6200000000,0.000000,11.060,122,122,374.6200000000,374.6200000000,234.7300000000,234.7300000000,9.0500000000,9.0500000000
101,25,10,dynamic,weighted_flow,221.9800000000,221.9800000000,0.000000,9.680,124,124,221.9800000000,221.9800000000,61.1900000000,61.1900000000,2.0000000000,2.0000000000
102,25,10,dynamic,weighted_flow,331.3300000000,331.3300000000,0.000000,9.733,131,131,331.3300000000,331.3300000000,77.7100000000,77.7100000000,4.8800000000,4.8800000000
103,25,10,dynamic,weighted_flow,296.0600000000,296.0600000000,0.000000,8.654,116,116,296.0600000000,296.0600000000,42.9000000000,42.9000000000,2.0600000000,2.0600000000
104,25,10,dynamic,weighted_flow,116.9000000000,116.9000000000,0.000000,9.363,68,68,116.9000000000,116.9000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,dynamic,weighted_flow,256.6800000000,256.6800000000,0.000000,10.729,97,97,256.6800000000,256.6800000000,2.8000000000,2.8000000000,0.7000000000,0.7000000000
106,25,10,dynamic,weighted_flow,157.2300000000,157.2300000000,0.000000,9.621,85,85,157.2300000000,157.2300000000,5.1800000000,5.1800000000,0.3700000000,0.3700000000
107,25,10,dynamic,weighted_flow,270.5400000000,270.5400000000,0.000000,9.121,162,162,270.5400000000,270.5400000000,28.6900000000,28.6900000000,1.3100000000,1.3100000000
108,25,10,dynamic,weighted_flow,215.2800000000,215.2800000000,0.000000,9.308,95,95,215.2800000000,215.2800000000,99.2400000000,99.2400000000,5.4900000000,5.4900000000
109,25,10,dynamic,weighted_flow,117.1000000000,117.1000000000,0.000000,9.489,75,75,117.1000000000,117.1000000000,5.7800000000,5.7800000000,1.9100000000,1.9100000000
110,50,10,dynamic,weighted_flow,730.8300000000,743.0700000000,-1.674808,31.961,200,206,730.8300000000,743.0700000000,60.0600000000,87.3600000000,2.2400000000,3.8800000000
111,50,10,dynamic,weighted_flow,618.6100000000,644.6400000000,-4.207821,17.418,201,180,618.6100000000,644.6400000000,2.8500000000,7.6000000000,0.1900000000,0.9500000000
112,50,10,dynamic,weighted_flow,941.3100000000,933.3300000000,0.847755,23.355,187,203,941.3100000000,933.3300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,dynamic,weighted_flow,527.2100000000,528.0000000000,-0.149845,19.457,189,234,527.2100000000,528.0000000000,1.3000000000,13.0000000000,0.2600000000,0.2600000000
114,50,10,dynamic,weighted_flow,529.8500000000,515.7300000000,2.664905,25.462,181,181,529.8500000000,515.7300000000,0.9200000000,0.9200000000,0.4600000000,0.4600000000
115,100,10,dynamic,weighted_flow,1488.4800000000,1384.4700000000,6.987665,47.686,318,312,1488.4800000000,1384.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,dynamic,weighted_flow,1571.9300000000,1580.1700000000,-0.524196,109.545,326,311,1571.9300000000,1580.1700000000,0.8400000000,8.6200000000,0.2800000000,0.4700000000
117,100,10,dynamic,weighted_flow,1657.8900000000,1574.7200000000,5.016618,86.020,310,321,1657.8900000000,1574.7200000000,215.7100000000,219.6600000000,8.0100000000,8.6600000000
118,100,10,dynamic,weighted_flow,1905.5400000000,1270.1200000000,33.345928,53.649,358,299,1905.5400000000,1270.1200000000,36.0600000000,0.0000000000,1.1300000000,0.0000000000
119,100,10,dynamic,weighted_flow,1403.8500000000,1313.4000000000,6.442996,56.340,338,357,1403.8500000000,1313.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
