set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
70,50,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,252,252,537.6800000000,537.6800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,322,322,1057.1800000000,1057.1800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,246,246,839.5700000000,839.5700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
73,50,6,dynamic,weighted_tardy_jobs,4.6800000000,4.5500000000,2.777778,257,268,797.0900000000,853.5800000000,154.3400000000,162.1000000000,4.6800000000,4.5500000000
74,50,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,307,307,1082.5000000000,1082.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,446,446,2327.4400000000,2327.4400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,dynamic,weighted_tardy_jobs,8.7200000000,7.5300000000,13.646789,494,502,1700.5800000000,1773.9900000000,243.9000000000,224.3900000000,8.7200000000,7.5300000000
77,100,6,dynamic,weighted_tardy_jobs,8.7200000000,7.5800000000,13.073394,464,502,1783.2800000000,1752.5900000000,189.6800000000,161.9200000000,8.7200000000,7.5800000000
78,100,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,514,514,1780.6600000000,1780.6600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,dynamic,weighted_tardy_jobs,20.2100000000,20.4800000000,-1.335972,537,559,2153.1300000000,2348.5300000000,927.9700000000,997.6600000000,20.2100000000,20.4800000000
80,25,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,99,99,119.8100000000,119.8100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,dynamic,weighted_tardy_jobs,0.1900000000,0.1900000000,0.000000,141,141,147.4800000000,147.4800000000,7.0300000000,7.0300000000,0.1900000000,0.1900000000
82,25,10,dynamic,weighted_tardy_jobs,6.0600000000,6.0600000000,0.000000,85,85,150.6700000000,150.6700000000,49.8800000000,49.8800000000,6.0600000000,6.0600000000
83,25,10,dynamic,weighted_tardy_jobs,0.5400000000,0.5400000000,0.000000,97,97,229.6400000000,229.6400000000,0.5400000000,0.5400000000,0.5400000000,0.5400000000
84,25,10,dynamic,weighted_tardy_jobs,4.5800000000,4.5800000000,0.000000,122,122,290.9900000000,290.9900000000,133.0900000000,133.0900000000,4.5800000000,4.5800000000
85,25,10,dynamic,weighted_tardy_jobs,1.2000000000,1.2000000000,0.000000,138,138,333.3500000000,333.3500000000,37.2000000000,37.2000000000,1.2000000000,1.2000000000
86,25,10,dynamic,weighted_tardy_jobs,2.0200000000,2.0200000000,0.000000,171,171,425.7800000000,425.7800000000,108.8600000000,108.8600000000,2.0200000000,2.0200000000
87,25,10,dynamic,weighted_tardy_jobs,9.1500000000,9.1500000000,0.000000,130,130,447.5700000000,447.5700000000,250.0900000000,250.0900000000,9.1500000000,9.1500000000
88,25,10,dynamic,weighted_tardy_jobs,2.3800000000,2.3800000000,0.000000,122,122,274.1400000000,274.1400000000,29.6500000000,29.6500000000,2.3800000000,2.3800000000
89,25,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,91,91,135.3200000000,135.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,212,212,736.2800000000,736.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,dynamic,weighted_tardy_jobs,12.0000000000,12.0000000000,0.000000,208,208,757.2500000000,757.2500000000,303.0400000000,303.0400000000,12.0000000000,12.0000000000
92,50,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,175,175,727.4800000000,727.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,dynamic,weighted_tardy_jobs,6.7900000000,6.9900000000,-2.945508,189,185,730.9200000000,737.3400000000,145.5800000000,185.3300000000,6.7900000000,6.9900000000
94,50,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,208,208,499.3000000000,499.3000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,348,348,1587.2400000000,1587.2400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
