set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
58,100,6,dynamic,weighted_tardiness,563.2900000000,441.5100000000,21.619415,77.397,481,451,1739.5200000000,1984.9600000000,563.2900000000,441.5100000000,17.2400000000,16.1400000000
59,100,6,dynamic,weighted_tardiness,671.9700000000,643.5300000000,4.232332,81.427,497,523,2020.8100000000,2372.6900000000,671.9700000000,643.5300000000,16.2300000000,18.8700000000
60,12,6,dynamic,weighted_tardiness,10.4300000000,10.4300000000,0.000000,4.701,112,112,243.7700000000,243.7700000000,10.4300000000,10.4300000000,1.4400000000,1.4400000000
61,12,6,dynamic,weighted_tardiness,139.0500000000,93.5100000000,32.750809,5.270,137,109,342.3400000000,296.8000000000,139.0500000000,93.5100000000,3.1200000000,3.1200000000
62,12,6,dynamic,weighted_tardiness,115.3300000000,113.3000000000,1.760166,4.731,79,139,187.9700000000,178.0300000000,115.3300000000,113.3000000000,5.8600000000,4.5300000000
63,12,6,dynamic,weighted_tardiness,47.5100000000,47.5100000000,0.000000,4.873,108,108,212.9300000000,212.9300000000,47.5100000000,47.5100000000,1.7100000000,1.7100000000
64,12,6,dynamic,weighted_tardiness,109.4900000000,109.4900000000,0.000000,5.229,103,103,156.6900000000,156.6900000000,109.4900000000,109.4900000000,3.8300000000,3.8300000000
65,25,6,dynamic,weighted_tardiness,102.8400000000,102.8400000000,0.000000,7.860,219,219,484.9800000000,484.9800000000,102.8400000000,102.8400000000,2.5800000000,2.5800000000
66,25,6,dynamic,weighted_tardiness,239.3700000000,190.3700000000,20.470401,11.419,183,206,501.5800000000,462.1800000000,239.3700000000,190.3700000000,8.1400000000,8.8400000000
67,25,6,dynamic,weighted_tardiness,43.5100000000,98.8100000000,-127.097219,8.599,138,162,386.2700000000,443.6700000000,43.5100000000,98.8100000000,4.0700000000,5.0000000000
68,25,6,dynamic,weighted_tardiness,39.8000000000,39.8000000000,0.000000,14.020,189,189,615.3100000000,615.3100000000,39.8000000000,39.8000000000,1.7800000000,1.7800000000
69,25,6,dynamic,weighted_tardiness,88.2400000000,46.4000000000,47.416138,12.645,165,177,503.6500000000,527.2900000000,88.2400000000,46.4000000000,2.6500000000,2.6500000000
70,50,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,14.817,252,252,537.6800000000,537.6800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
