set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
47,25,6,static,makespan,128.0000000000,126.0000000000,1.562500,24.802,128,126,234.4900000000,247.1800000000,76.0700000000,88.7600000000,6.1100000000,6.1100000000
48,25,6,static,makespan,138.0000000000,138.0000000000,0.000000,24.124,138,138,268.6000000000,268.6000000000,142.9700000000,142.9700000000,4.6000000000,4.6000000000
49,25,6,static,makespan,105.0000000000,105.0000000000,0.000000,24.268,105,105,161.0500000000,161.0500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50,50,6,static,makespan,256.0000000000,242.0000000000,5.468750,78.675,256,242,524.0800000000,537.5200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,static,makespan,222.0000000000,216.0000000000,2.702703,81.216,222,216,485.7200000000,480.5100000000,13.5000000000,13.5000000000,0.7500000000,0.7500000000
52,50,6,static,makespan,265.0000000000,252.0000000000,4.905660,80.432,265,252,639.6300000000,689.4800000000,206.3300000000,193.6400000000,6.8600000000,6.8600000000
53,50,6,static,makespan,259.0000000000,244.0000000000,5.791506,102.167,259,244,487.1600000000,499.0600000000,26.7000000000,29.9400000000,1.5700000000,0.9800000000
54,50,6,static,makespan,207.0000000000,207.0000000000,0.000000,106.547,207,207,405.4700000000,405.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,static,makespan,475.0000000000,466.0000000000,1.894737,312.614,475,466,1236.1400000000,1225.6400000000,0.9200000000,0.9200000000,0.9200000000,0.9200000000
56,100,6,static,makespan,480.0000000000,472.0000000000,1.666667,289.218,480,472,1161.7000000000,1152.8000000000,176.9400000000,165.4900000000,4.5100000000,4.5100000000
57,100,6,static,makespan,462.0000000000,456.0000000000,1.298701,288.791,462,456,832.5000000000,854.9200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,static,makespan,454.0000000000,454.0000000000,0.000000,477.623,454,454,1022.3200000000,1022.3200000000,330.4500000000,330.4500000000,14.6400000000,14.6400000000
59,100,6,static,makespan,509.0000000000,507.0000000000,0.392927,404.494,509,507,1523.4700000000,1526.7800000000,582.2100000000,587.1300000000,16.2600000000,16.2600000000
60,12,6,static,makespan,101.0000000000,88.0000000000,12.871287,10.602,101,88,214.7500000000,227.6000000000,30.3800000000,10.8400000000,1.5100000000,1.1100000000
61,12,6,static,makespan,63.0000000000,63.0000000000,0.000000,9.297,63,63,94.1800000000,94.1800000000,1.8400000000,1.8400000000,0.9200000000,0.9200000000
62,12,6,static,makespan,105.0000000000,70.0000000000,33.333333,9.586,105,70,152.7000000000,166.0400000000,97.9300000000,101.7600000000,4.7600000000,5.5300000000
63,12,6,static,makespan,107.0000000000,90.0000000000,15.887850,9.542,107,90,116.4700000000,111.9000000000,18.8800000000,8.8500000000,0.5900000000,0.5900000000
64,12,6,static,makespan,73.0000000000,66.0000000000,9.589041,9.539,73,66,119.5300000000,114.8500000000,72.3300000000,62.3300000000,3.8300000000,4.0000000000
65,25,6,static,makespan,160.0000000000,137.0000000000,14.375000,25.865,160,137,252.6800000000,267.2100000000,5.4300000000,3.0300000000,1.4100000000,1.1100000000
66,25,6,static,makespan,165.0000000000,147.0000000000,10.909091,25.597,165,147,375.2600000000,365.4500000000,175.1100000000,162.4200000000,6.2000000000,6.2900000000
67,25,6,static,makespan,117.0000000000,117.0000000000,0.000000,25.589,117,117,217.7200000000,217.7200000000,14.5900000000,14.5900000000,1.1200000000,1.1200000000
68,25,6,static,makespan,182.0000000000,172.0000000000,5.494505,25.676,182,172,414.2700000000,486.1900000000,101.2000000000,40.4800000000,0.9200000000,0.9200000000
69,25,6,static,makespan,156.0000000000,125.0000000000,19.871795,25.579,156,125,306.5100000000,282.3300000000,120.2200000000,82.0000000000,2.3800000000,2.3800000000
70,50,6,static,makespan,229.0000000000,229.0000000000,0.000000,81.227,229,229,419.4200000000,419.4200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,static,makespan,264.0000000000,264.0000000000,0.000000,81.960,264,264,695.2000000000,695.2000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,static,makespan,251.0000000000,229.0000000000,8.764940,82.752,251,229,657.8100000000,676.8500000000,0.8700000000,0.8700000000,0.8700000000,0.8700000000
73,50,6,static,makespan,237.0000000000,235.0000000000,0.843882,82.235,237,235,531.2000000000,531.1400000000,67.0100000000,67.0100000000,2.5200000000,2.5200000000
74,50,6,static,makespan,252.0000000000,252.0000000000,0.000000,80.661,252,252,359.5400000000,359.5400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,static,makespan,422.0000000000,417.0000000000,1.184834,289.899,422,417,1215.0000000000,1234.6900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,static,makespan,478.0000000000,478.0000000000,0.000000,293.573,478,478,1006.2500000000,1006.2500000000,90.7500000000,90.7500000000,7.1700000000,7.1700000000
77,100,6,static,makespan,482.0000000000,482.0000000000,0.000000,294.350,482,482,1401.1300000000,1401.1300000000,334.6200000000,334.6200000000,5.2300000000,5.2300000000
